t px py theta vx vy omega ax ay alpha 
0.0135 0.252214841 0.01090292208 -0.9473593269 0.9559964758 3.961075063 -87.68259271 255.6714728 -463.5496299 8405.623556
0.0136 0.2523117024 0.01129671548 -0.9560856609 0.9810646436 3.914830295 -86.84512287 245.716153 -461.3658027 8344.705614
0.0137 0.252411021 0.01168589526 -0.9647285461 1.005145337 3.868801662 -86.01355013 235.9158552 -459.2450165 8288.069365
0.0138 0.252512699 0.01207048271 -0.9732885513 1.02825368 3.822982973 -85.18745309 226.2751471 -457.1388474 8234.553486
0.0139 0.2526166398 0.01245049856 -0.9817662036 1.050404035 3.777368272 -84.36642361 216.7622526 -455.1372191 8186.081764
0.014 0.2527227483 0.01282596291 -0.9901619903 1.071610048 3.731951828 -83.55006605 207.3821821 -453.1917376 8141.504875
0.0141 0.2528309308 0.01319689532 -0.9984763591 1.091884814 3.686728572 -82.73800677 198.1283686 -451.3004137 8100.708717
0.0142 0.2529410946 0.01356331478 -1.00670972 1.111240383 3.641692273 -81.92985277 189.0012583 -449.4387142 8063.07715
0.0143 0.2530531486 0.0139252398 -1.014862447 1.12968873 3.596838696 -81.1252622 179.9884804 -447.6276755 8029.018069
0.0144 0.2531670025 0.01428268837 -1.022934878 1.147240843 3.552162426 -80.32387277 171.077104 -445.8878429 7998.938002
0.0145 0.2532825672 0.01463567798 -1.030927315 1.163907293 3.507658666 -79.52534176 162.2686402 -444.1950948 7972.238404
0.0146 0.2533997547 0.01498422564 -1.038840029 1.179698127 3.463322775 -78.72933543 153.5580054 -442.5479271 7948.832189
0.0147 0.253518478 0.01532834792 -1.046673255 1.194622896 3.419150258 -77.93552852 144.9480567 -440.9229569 7928.135925
0.0148 0.2536386507 0.01566806093 -1.054427196 1.208690685 3.375136756 -77.14360385 136.4268584 -439.3410387 7910.573936
0.0149 0.2537601878 0.01600338039 -1.062102027 1.221910293 3.331278475 -76.35326183 127.982156 -437.8227248 7896.570507
0.015 0.2538830047 0.01633432156 -1.069697889 1.234289619 3.287570432 -75.56418026 119.6336692 -436.3014834 7884.557371
0.0151 0.2540070235 0.01666091385 -1.077215229 1.246039116 3.244533051 -74.78816152 116.2343603 -422.3667285 7587.717134
0.0152 0.2541322036 0.01698327836 -1.084656599 1.25751132 3.20298399 -74.04408579 113.2813216 -408.6455316 7294.274824
0.0153 0.2542585167 0.01730155607 -1.09202502 1.268707304 3.162792278 -73.32908663 110.7041365 -395.2268553 7006.336999
0.0154 0.2543859372 0.01761588139 -1.099323375 1.279665478 3.123931946 -72.64271655 108.5143929 -382.0379251 6722.145059
0.0155 0.2545144432 0.01792638621 -1.106554508 1.290423276 3.086378699 -71.98457411 106.6998059 -369.0711578 6441.446087
0.0156 0.2546440164 0.0182332 -1.113721221 1.301016369 3.050107735 -71.35425315 105.2307478 -356.361416 6164.985395
0.0157 0.2547746422 0.0185364499 -1.120826278 1.311479976 3.015096676 -70.75141053 104.1048421 -343.8804426 5892.039801
